Row_Col_Event,EventTime,ConfidenceIndex,QualityLevel
r5_c3_ev9,0.67001,0.99944,High
r5_c3_ev10,0.771,0.99966,High
r5_c3_ev11,0.877,0.99969,High
r5_c3_ev12,0.98007,0.99984,High
r5_c4_ev1,0.121,0.78839,Indeterminant
r5_c4_ev2,0.29838,0.93187,High
r5_c4_ev3,0.462,0.99967,High
r5_c5_ev1,0.156,0.99973,High
r5_c5_ev2,0.259,0.99976,High
r5_c5_ev3,0.335,0.78928,Indeterminant
r5_c5_ev4,0.461,0.99968,High
r5_c5_ev5,0.565,0.99974,High
r5_c5_ev6,0.668,0.99968,High
r5_c5_ev7,0.84338,0.93146,High
r5_c5_ev8,0.87799,0.99949,High
r5_c6_ev1,0.053856,0.99915,High
r5_c6_ev2,0.15401,0.99955,High
r5_c6_ev3,0.255,0.99966,High
r5_c6_ev4,0.36,0.99968,High
r5_c6_ev5,0.463,0.99966,High
r5_c6_ev6,0.566,0.99972,High
r5_c6_ev7,0.64038,0.93241,High
r5_c6_ev8,0.66701,0.99979,High
r5_c6_ev9,0.775,0.99967,High
r5_c6_ev10,0.874,0.99919,High
r5_c6_ev11,0.928,0.78624,Indeterminant
r5_c6_ev12,0.98013,0.99142,High
r5_c7_ev1,0.259,0.99966,High
r5_c7_ev2,0.569,0.99946,High
r5_c7_ev3,0.63442,0.92901,High
r5_c7_ev4,0.647,0.79378,Indeterminant
r5_c7_ev5,0.67204,0.99744,High
r5_c7_ev6,0.876,0.99966,High
r5_c8_ev1,0.048984,0.98323,High
r5_c8_ev2,0.154,0.99969,High
r5_c8_ev3,0.257,0.99968,High
r5_c8_ev4,0.359,0.99969,High
r5_c8_ev5,0.466,0.99964,High
r5_c8_ev6,0.569,0.99965,High
r5_c8_ev7,0.77099,0.99948,High
r5_c8_ev8,0.851,0.78942,Indeterminant
r5_c8_ev9,0.87806,0.9992,High
r5_c8_ev10,0.92839,0.93139,High
r5_c9_ev1,0.051052,0.99977,High
r5_c9_ev2,0.081392,0.93167,High
r5_c9_ev3,0.152,0.99963,High
r5_c9_ev4,0.235,0.78933,Indeterminant
r5_c9_ev5,0.25799,0.99849,High
r5_c9_ev6,0.357,0.99975,High
r5_c9_ev7,0.461,0.99967,High
r5_c9_ev8,0.565,0.99963,High
r5_c9_ev9,0.669,0.99973,High
r5_c9_ev10,0.77,0.99963,High
r5_c9_ev11,0.879,0.99961,High
r5_c9_ev12,0.97709,0.99615,High
r6_c1_ev1,0.051009,0.9987,High
r6_c1_ev2,0.15701,0.99946,High
r6_c1_ev3,0.18838,0.93179,High
r6_c1_ev4,0.256,0.99954,High
r6_c1_ev5,0.493,0.7894,Indeterminant
r6_c1_ev6,0.563,0.99981,High
r6_c1_ev7,0.669,0.99968,High
r6_c1_ev8,0.773,0.99967,High
r6_c1_ev9,0.875,0.99968,High
r6_c1_ev10,0.97921,0.99873,High
r6_c2_ev1,0.04911,0.99969,High
r6_c2_ev2,0.156,0.99965,High
r6_c2_ev3,0.255,0.99963,High
r6_c2_ev4,0.363,0.99974,High
r6_c2_ev5,0.442,0.788,Indeterminant
r6_c2_ev6,0.46004,0.99901,High
r6_c2_ev7,0.564,0.99962,High
r6_c2_ev8,0.67,0.99966,High
r6_c2_ev9,0.771,0.99976,High
r6_c2_ev10,0.87799,0.99782,High
r6_c2_ev11,0.90339,0.93207,High
r6_c2_ev12,0.97816,0.99814,High
r6_c3_ev1,0.052022,0.99986,High
r6_c3_ev2,0.152,0.99963,High
r6_c3_ev3,0.258,0.99978,High
r6_c3_ev4,0.36299,0.99916,High
r6_c3_ev5,0.403,0.78962,Indeterminant
r6_c3_ev6,0.465,0.99876,High
r6_c3_ev7,0.54438,0.93168,High
r6_c3_ev8,0.565,0.99927,High
r6_c3_ev9,0.668,0.99967,High
r6_c3_ev10,0.76901,0.99967,High
r6_c3_ev11,0.876,0.99968,High
r6_c3_ev12,0.97905,0.99936,High
r6_c4_ev1,0.466,0.99967,High
r6_c4_ev2,0.612,0.78954,Indeterminant
r6_c4_ev3,0.95139,0.93273,High
r6_c5_ev1,0.15299,0.99989,High
r6_c5_ev2,0.213,0.78933,Indeterminant
r6_c5_ev3,0.261,0.9996,High
r6_c5_ev4,0.33138,0.93187,High
r6_c5_ev5,0.462,0.99973,High
r6_c5_ev6,0.569,0.99965,High
r6_c5_ev7,0.671,0.99964,High
r6_c5_ev8,0.878,0.9996,High
r6_c6_ev1,0.051022,0.99987,High
r6_c6_ev2,0.15401,0.99968,High
r6_c6_ev3,0.26001,0.99982,High
r6_c6_ev4,0.30238,0.93209,High
r6_c6_ev5,0.362,0.99973,High
r6_c6_ev6,0.46,0.9996,High
r6_c6_ev7,0.568,0.99966,High
r6_c6_ev8,0.672,0.99965,High
r6_c6_ev9,0.772,0.99967,High
r6_c6_ev10,0.87408,0.99939,High
r6_c6_ev11,0.909,0.78922,Indeterminant
r6_c6_ev12,0.98007,0.99817,High
r6_c7_ev1,0.10337,0.93179,High
r6_c7_ev2,0.258,0.99971,High
r6_c7_ev3,0.41,0.78955,Indeterminant
r6_c7_ev4,0.569,0.99968,High
r6_c7_ev5,0.671,0.99962,High
r6_c8_ev1,0.053262,0.99826,High
r6_c8_ev2,0.15601,0.99976,High
r6_c8_ev3,0.189,0.78847,Indeterminant
r6_c8_ev4,0.259,0.99985,High
r6_c8_ev5,0.359,0.9995,High
r6_c8_ev6,0.42438,0.9317,High
r6_c8_ev7,0.461,0.99946,High
r6_c8_ev8,0.56699,0.99969,High
r6_c8_ev9,0.773,0.99964,High
r6_c8_ev10,0.874,0.99967,High
r6_c9_ev1,0.052043,0.99992,High
r6_c9_ev2,0.15607,0.99078,High
